===Starting client benchmark

device: nvme1
Node                  SN                   Model                                    Namespace Usage                      Format           FW Rev  
--------------------- -------------------- ---------------------------------------- --------- -------------------------- ---------------- --------
/dev/nvme0n1          PHM27522000B480BGN   INTEL SSDPE21D480GA                      1         480.10  GB / 480.10  GB    512   B +  0 B   E2010414
/dev/nvme1n1          SPDK00000000000001   SPDK_Controller1                         1          85.90  GB /  85.90  GB      4 KiB +  0 B   23.09   
Using device /dev/nvme1n1


===Reading entire image to warm cache===


93323264 bytes (93 MB, 89 MiB) copied, 1 s, 93.2 MB/s
189792256 bytes (190 MB, 181 MiB) copied, 2 s, 94.7 MB/s
287309824 bytes (287 MB, 274 MiB) copied, 3 s, 95.5 MB/s
384827392 bytes (385 MB, 367 MiB) copied, 4 s, 96.1 MB/s
478150656 bytes (478 MB, 456 MiB) copied, 5 s, 95.5 MB/s
571473920 bytes (571 MB, 545 MiB) copied, 6 s, 95.1 MB/s
670040064 bytes (670 MB, 639 MiB) copied, 7 s, 95.6 MB/s
773849088 bytes (774 MB, 738 MiB) copied, 8 s, 96.7 MB/s
868220928 bytes (868 MB, 828 MiB) copied, 9 s, 96.4 MB/s
961544192 bytes (962 MB, 917 MiB) copied, 10 s, 96.1 MB/s
1055916032 bytes (1.1 GB, 1007 MiB) copied, 11 s, 96.0 MB/s
1142947840 bytes (1.1 GB, 1.1 GiB) copied, 12 s, 95.2 MB/s 
1241513984 bytes (1.2 GB, 1.2 GiB) copied, 13 s, 95.4 MB/s
17957912576 bytes (18 GB, 17 GiB) copied, 178 s, 101 MB/s
18054381568 bytes (18 GB, 17 GiB) copied, 179 s, 101 MB/s
18153996288 bytes (18 GB, 17 GiB) copied, 180 s, 101 MB/s
18253611008 bytes (18 GB, 17 GiB) copied, 181 s, 101 MB/s
18347982848 bytes (18 GB, 17 GiB) copied, 182 s, 101 MB/s
18453889024 bytes (18 GB, 17 GiB) copied, 183 s, 101 MB/s
18551406592 bytes (19 GB, 17 GiB) copied, 184 s, 101 MB/s
18648924160 bytes (19 GB, 17 GiB) copied, 185 s, 101 MB/s
18749587456 bytes (19 GB, 17 GiB) copied, 186 s, 101 MB/s
18846056448 bytes (19 GB, 18 GiB) copied, 187 s, 101 MB/s
18950914048 bytes (19 GB, 18 GiB) copied, 188 s, 101 MB/s
19053674496 bytes (19 GB, 18 GiB) copied, 189 s, 101 MB/s
19157483520 bytes (19 GB, 18 GiB) copied, 190 s, 101 MB/s
19259195392 bytes (19 GB, 18 GiB) copied, 191 s, 101 MB/s
19358810112 bytes (19 GB, 18 GiB) copied, 192 s, 101 MB/s
19463667712 bytes (19 GB, 18 GiB) copied, 193 s, 101 MB/s
19568525312 bytes (20 GB, 18 GiB) copied, 194 s, 101 MB/s
19677577216 bytes (20 GB, 18 GiB) copied, 195 s, 101 MB/s
19779289088 bytes (20 GB, 18 GiB) copied, 196 s, 101 MB/s
19885195264 bytes (20 GB, 19 GiB) copied, 197 s, 101 MB/s
19984809984 bytes (20 GB, 19 GiB) copied, 198 s, 101 MB/s
20090716160 bytes (20 GB, 19 GiB) copied, 199 s, 101 MB/s
20188233728 bytes (20 GB, 19 GiB) copied, 200 s, 101 MB/s
20287848448 bytes (20 GB, 19 GiB) copied, 201 s, 101 MB/s
20393754624 bytes (20 GB, 19 GiB) copied, 202 s, 101 MB/s
20491272192 bytes (20 GB, 19 GiB) copied, 203 s, 101 MB/s
20603469824 bytes (21 GB, 19 GiB) copied, 204 s, 101 MB/s
20705181696 bytes (21 GB, 19 GiB) copied, 205 s, 101 MB/s
20808990720 bytes (21 GB, 19 GiB) copied, 206 s, 101 MB/s
20906508288 bytes (21 GB, 19 GiB) copied, 207 s, 101 MB/s
21006123008 bytes (21 GB, 20 GiB) copied, 208 s, 101 MB/s
21109932032 bytes (21 GB, 20 GiB) copied, 209 s, 101 MB/s
21215838208 bytes (21 GB, 20 GiB) copied, 210 s, 101 MB/s
21312307200 bytes (21 GB, 20 GiB) copied, 211 s, 101 MB/s
21416116224 bytes (21 GB, 20 GiB) copied, 212 s, 101 MB/s
21517828096 bytes (22 GB, 20 GiB) copied, 213 s, 101 MB/s
21624782848 bytes (22 GB, 20 GiB) copied, 214 s, 101 MB/s
21726494720 bytes (22 GB, 20 GiB) copied, 215 s, 101 MB/s
21815623680 bytes (22 GB, 20 GiB) copied, 216 s, 101 MB/s
21923627008 bytes (22 GB, 20 GiB) copied, 217 s, 101 MB/s
22025338880 bytes (22 GB, 21 GiB) copied, 218 s, 101 MB/s
22122856448 bytes (22 GB, 21 GiB) copied, 219 s, 101 MB/s
22223519744 bytes (22 GB, 21 GiB) copied, 220 s, 101 MB/s
22326280192 bytes (22 GB, 21 GiB) copied, 221 s, 101 MB/s
22430089216 bytes (22 GB, 21 GiB) copied, 222 s, 101 MB/s
22533898240 bytes (23 GB, 21 GiB) copied, 223 s, 101 MB/s
22637707264 bytes (23 GB, 21 GiB) copied, 224 s, 101 MB/s
22740467712 bytes (23 GB, 21 GiB) copied, 225 s, 101 MB/s
22847422464 bytes (23 GB, 21 GiB) copied, 226 s, 101 MB/s
22954377216 bytes (23 GB, 21 GiB) copied, 227 s, 101 MB/s
23060283392 bytes (23 GB, 21 GiB) copied, 228 s, 101 MB/s
23165140992 bytes (23 GB, 22 GiB) copied, 229 s, 101 MB/s
23269998592 bytes (23 GB, 22 GiB) copied, 230 s, 101 MB/s
23368564736 bytes (23 GB, 22 GiB) copied, 231 s, 101 MB/s
23460839424 bytes (23 GB, 22 GiB) copied, 232 s, 101 MB/s
23564648448 bytes (24 GB, 22 GiB) copied, 233 s, 101 MB/s
23671603200 bytes (24 GB, 22 GiB) copied, 234 s, 101 MB/s
23771217920 bytes (24 GB, 22 GiB) copied, 235 s, 101 MB/s
23866638336 bytes (24 GB, 22 GiB) copied, 236 s, 101 MB/s
23973593088 bytes (24 GB, 22 GiB) copied, 237 s, 101 MB/s
24074256384 bytes (24 GB, 22 GiB) copied, 238 s, 101 MB/s
24171773952 bytes (24 GB, 23 GiB) copied, 239 s, 101 MB/s
24276631552 bytes (24 GB, 23 GiB) copied, 240 s, 101 MB/s
24375197696 bytes (24 GB, 23 GiB) copied, 241 s, 101 MB/s
24477958144 bytes (24 GB, 23 GiB) copied, 242 s, 101 MB/s
24572329984 bytes (25 GB, 23 GiB) copied, 243 s, 101 MB/s
24672993280 bytes (25 GB, 23 GiB) copied, 244 s, 101 MB/s
24774705152 bytes (25 GB, 23 GiB) copied, 245 s, 101 MB/s
24870125568 bytes (25 GB, 23 GiB) copied, 246 s, 101 MB/s
24978128896 bytes (25 GB, 23 GiB) copied, 247 s, 101 MB/s
25085083648 bytes (25 GB, 23 GiB) copied, 248 s, 101 MB/s
25189941248 bytes (25 GB, 23 GiB) copied, 249 s, 101 MB/s
25292701696 bytes (25 GB, 24 GiB) copied, 250 s, 101 MB/s
25391267840 bytes (25 GB, 24 GiB) copied, 251 s, 101 MB/s
25496125440 bytes (25 GB, 24 GiB) copied, 252 s, 101 MB/s
25591545856 bytes (26 GB, 24 GiB) copied, 253 s, 101 MB/s
25694306304 bytes (26 GB, 24 GiB) copied, 254 s, 101 MB/s
25798115328 bytes (26 GB, 24 GiB) copied, 255 s, 101 MB/s
25906118656 bytes (26 GB, 24 GiB) copied, 256 s, 101 MB/s
26009927680 bytes (26 GB, 24 GiB) copied, 257 s, 101 MB/s
26100105216 bytes (26 GB, 24 GiB) copied, 258 s, 101 MB/s
26212302848 bytes (26 GB, 24 GiB) copied, 259 s, 101 MB/s
26324500480 bytes (26 GB, 25 GiB) copied, 260 s, 101 MB/s
26430406656 bytes (26 GB, 25 GiB) copied, 261 s, 101 MB/s
26532118528 bytes (27 GB, 25 GiB) copied, 262 s, 101 MB/s
26639073280 bytes (27 GB, 25 GiB) copied, 263 s, 101 MB/s
26746028032 bytes (27 GB, 25 GiB) copied, 264 s, 101 MB/s
26846691328 bytes (27 GB, 25 GiB) copied, 265 s, 101 MB/s
26938966016 bytes (27 GB, 25 GiB) copied, 266 s, 101 MB/s
27038580736 bytes (27 GB, 25 GiB) copied, 267 s, 101 MB/s
27132952576 bytes (27 GB, 25 GiB) copied, 268 s, 101 MB/s
27229421568 bytes (27 GB, 25 GiB) copied, 269 s, 101 MB/s
27332182016 bytes (27 GB, 25 GiB) copied, 270 s, 101 MB/s
27435991040 bytes (27 GB, 26 GiB) copied, 271 s, 101 MB/s
27533508608 bytes (28 GB, 26 GiB) copied, 272 s, 101 MB/s
27629977600 bytes (28 GB, 26 GiB) copied, 273 s, 101 MB/s
27735883776 bytes (28 GB, 26 GiB) copied, 274 s, 101 MB/s
27836547072 bytes (28 GB, 26 GiB) copied, 275 s, 101 MB/s
27937210368 bytes (28 GB, 26 GiB) copied, 276 s, 101 MB/s
28039970816 bytes (28 GB, 26 GiB) copied, 277 s, 101 MB/s
28142731264 bytes (28 GB, 26 GiB) copied, 278 s, 101 MB/s
28249686016 bytes (28 GB, 26 GiB) copied, 279 s, 101 MB/s
28345106432 bytes (28 GB, 26 GiB) copied, 280 s, 101 MB/s
28446818304 bytes (28 GB, 26 GiB) copied, 281 s, 101 MB/s
28549578752 bytes (29 GB, 27 GiB) copied, 282 s, 101 MB/s
28649193472 bytes (29 GB, 27 GiB) copied, 283 s, 101 MB/s
28757196800 bytes (29 GB, 27 GiB) copied, 284 s, 101 MB/s
28864151552 bytes (29 GB, 27 GiB) copied, 285 s, 101 MB/s
28961669120 bytes (29 GB, 27 GiB) copied, 286 s, 101 MB/s
29056040960 bytes (29 GB, 27 GiB) copied, 287 s, 101 MB/s
29157752832 bytes (29 GB, 27 GiB) copied, 288 s, 101 MB/s
29263659008 bytes (29 GB, 27 GiB) copied, 289 s, 101 MB/s
29368516608 bytes (29 GB, 27 GiB) copied, 290 s, 101 MB/s
29473374208 bytes (29 GB, 27 GiB) copied, 291 s, 101 MB/s
29576134656 bytes (30 GB, 28 GiB) copied, 292 s, 101 MB/s
29680992256 bytes (30 GB, 28 GiB) copied, 293 s, 101 MB/s
29781655552 bytes (30 GB, 28 GiB) copied, 294 s, 101 MB/s
29885464576 bytes (30 GB, 28 GiB) copied, 295 s, 101 MB/s
29984030720 bytes (30 GB, 28 GiB) copied, 296 s, 101 MB/s
30087839744 bytes (30 GB, 28 GiB) copied, 297 s, 101 MB/s
30190600192 bytes (30 GB, 28 GiB) copied, 298 s, 101 MB/s
30299652096 bytes (30 GB, 28 GiB) copied, 299 s, 101 MB/s
30399266816 bytes (30 GB, 28 GiB) copied, 300 s, 101 MB/s
30504124416 bytes (31 GB, 28 GiB) copied, 301 s, 101 MB/s
30610030592 bytes (31 GB, 29 GiB) copied, 302 s, 101 MB/s
30707548160 bytes (31 GB, 29 GiB) copied, 303 s, 101 MB/s
30814502912 bytes (31 GB, 29 GiB) copied, 304 s, 101 MB/s
30919360512 bytes (31 GB, 29 GiB) copied, 305 s, 101 MB/s
31026315264 bytes (31 GB, 29 GiB) copied, 306 s, 101 MB/s
31128027136 bytes (31 GB, 29 GiB) copied, 307 s, 101 MB/s
31226593280 bytes (31 GB, 29 GiB) copied, 308 s, 101 MB/s
31329353728 bytes (31 GB, 29 GiB) copied, 309 s, 101 MB/s
31424774144 bytes (31 GB, 29 GiB) copied, 310 s, 101 MB/s
31531728896 bytes (32 GB, 29 GiB) copied, 311 s, 101 MB/s
31634489344 bytes (32 GB, 29 GiB) copied, 312 s, 101 MB/s
31742492672 bytes (32 GB, 30 GiB) copied, 313 s, 101 MB/s
31837913088 bytes (32 GB, 30 GiB) copied, 314 s, 101 MB/s
